Position,Bowler,Team,Matches,Innings,Balls,Overs,Maidens,Runs,Wickets,Best_bowling_figure,Economy_rate,Four_wicket_haul,Five_wicket_hall
1,Prasidh Krishna,GT,8,8,186,31,0,226,16,4--41,7.29,1,0
2,R Sai Kishore,GT,8,8,143,23.5,0,196,12,3--30,8.22,0,0
3,Noor Ahmad,CSK,8,8,162,27,0,207,12,4--18,7.66,1,0
4,Kuldeep Yadav,DC,8,8,192,32,0,208,12,3--22,6.5,0,0
5,Hardik Pandya,MI,8,8,150,25,0,227,12,5--36,9.08,0,1
6,Josh Hazlewood,RCB,8,8,173,28.5,0,242,12,3--14,8.39,0,0
7,Mohammed Siraj,GT,8,8,192,32,0,283,12,4--17,8.84,1,0
8,Shardul Thakur,LSG,9,9,180,30,0,336,12,4--34,11.2,1,0
9,Harshit Rana,KKR,8,8,162,27,0,248,11,3--25,9.18,0,0
10,Arshdeep Singh,PBKS,8,8,174,29,1,250,11,3--43,8.62,0,0
11,Khaleel Ahmed,CSK,8,8,174,29,0,267,11,3--29,9.2,0,0
12,Mitchell Starc,DC,8,8,174,29,0,292,11,3--35,10.06,0,1
13,Varun Chakravarthy,KKR,8,8,186,31,0,201,10,3--22,6.48,0,0
14,Krunal Pandya,RCB,8,8,144,24,0,217,10,4--45,9.04,1,0
15,Trent Boult,MI,9,9,192,32,0,288,10,4--26,9,1,0
